C Avg. Runtime	C lower CI	C upper CI
70592	70164.0	71019.0
-C Avg. Runtime	-C lower CI	-C upper CI
6266	6199.0	6333.0

Trail	C+ Runtime	C- Runtime
0	70499	6258
1	74441	6444
2	70993	6262
3	69465	6443
4	72088	6646
5	71055	6073
6	71133	6524
7	70751	6061
8	71165	6734
9	70083	6135
10	71165	6499
11	70634	6373
12	69916	6426
13	69170	6111
14	69788	6092
15	69367	6088
16	70097	6430
17	69750	6151
18	69749	6080
19	71221	6375
20	71014	6217
21	71592	6111
22	71191	6453
23	69832	6157
24	68298	6116
25	71223	6244
26	68895	6064
27	70064	6144
28	72871	6088
29	70238	6172
