+C Avg. Runtime	+C lower CI	+C upper CI
112641	111693.0	113588.0
-C Avg. Runtime	-C lower CI	-C upper CI
17513	17300.0	17726.0

Trail	C+ Runtime	C- Runtime
0	111275	17025
1	114394	18171
2	111715	17445
3	116798	17850
4	108669	18321
5	114223	16989
6	109912	17651
7	118917	17826
8	108989	16582
9	111864	16981
10	114723	17457
11	111500	17324
12	111892	18335
13	109684	16492
14	112803	16908
15	111950	16733
16	110393	17574
17	111715	17931
18	113213	17209
19	119398	17573
20	112291	18511
21	113553	17940
22	113586	17566
23	114588	17182
24	108778	17107
25	112758	16738
26	109533	18311
27	111130	17897
28	113585	17001
29	115389	18755
