+C Avg. Runtime	+C lower CI	+C upper CI
192651	192156.0	193146.0
-C Avg. Runtime	-C lower CI	-C upper CI
63471	63173.0	63769.0

Trail	C+ Runtime	C- Runtime
0	194517	63521
1	192720	63275
2	192456	63442
3	191627	63344
4	195543	62979
5	191887	63102
6	194386	63709
7	191759	62832
8	191555	62995
9	193623	62882
10	192947	63857
11	191985	62940
12	192111	66167
13	192498	63570
14	192250	62505
15	194705	63332
16	196664	63241
17	192406	62694
18	191340	62801
19	190957	63402
20	192605	65928
21	193652	62441
22	193944	63104
23	192318	63512
24	191418	63748
25	190816	63513
26	192270	63528
27	191037	64408
28	191644	62873
29	191892	64478
