C Avg. Runtime	C lower CI	C upper CI
281563	280534.0	282591.0
-C Avg. Runtime	-C lower CI	-C upper CI
89454	88920.0	89989.0

Trail	C+ Runtime	C- Runtime
0	280617	88302
1	276358	91084
2	288623	88794
3	282636	88398
4	286784	88070
5	282883	88464
6	280903	89960
7	283775	89272
8	279510	89042
9	279234	88986
10	279383	89080
11	279333	93598
12	285462	88458
13	279142	88173
14	281412	89330
15	280302	92453
16	281719	88826
17	282125	89946
18	285462	88500
19	279722	88226
20	281306	89261
21	280568	88452
22	278466	89691
23	278583	88410
24	283322	91175
25	283607	93402
26	279051	88325
27	286105	90775
28	277380	88092
29	283103	89089
