PE-27,PE-33,PE-34,PE-46,Zombie,Snake,Tetris,Matrix,Funkytown,Boundary
0.9014813999,0.8541666667,0.80719576,0.8904352976,0.3675675676,0.6764705882,0.8369565217,0.9027149321,0.8091872792,0.8545454545
0.8981588305,0.8571428571,0.8005028326,0.8906854479,0.3783783784,0.5882352941,0.8369565217,0.9031531532,0.8098591549,0.8545454545
0.9012956716,0.8541666667,0.8035340226,0.8890217175,0.3783783784,0.7647058824,0.8351648352,0.9029345372,0.8133802817,0.8909090909
0.8982855519,0.8541666667,0.7980723546,0.8895049505,0.3783783784,0.7575757576,0.8351648352,0.9066666667,0.8133802817,0.8545454545
0.8944727608,0.8571428571,0.7919722948,0.8897535668,0.2162162162,0.7647058824,0.8369565217,0.9046563193,0.8120567376,0.8727272727
0.9037589934,0.8571428571,0.8079557786,0.8884171028,0.4072164948,0.7941176471,0.8241758242,0.9029345372,0.8120567376,0.8545454545
0.8975968858,0.8571428571,0.8037905736,0.890726521,0.3641304348,0.7647058824,0.7065217391,0.9033707865,0.8091872792,0.8518518519
0.9035364146,0.8541666667,0.8003181289,0.8896347483,0.3783783784,0.7575757576,0.8387096774,0.9031531532,0.8056537102,0.8545454545
0.8931026272,0.8571428571,0.8137732755,0.889197225,0.3862433862,0.6666666667,0.8369565217,0.9033707865,0.8133802817,0.8363636364
0.9024363093,0.8571428571,0.8091722293,0.8913861386,0.375,0.7575757576,0.8351648352,0.903803132,0.8127208481,0.8545454545
0.8982257231,0.8571428571,0.8040300853,0.890504451,0.455399061,0.7714285714,0.8222222222,0.9029345372,0.8120567376,0.8727272727
0.8987448364,0.8541666667,0.814910575,0.8896776102,0.375,0.7714285714,0.8387096774,0.9031531532,0.8146853147,0.8727272727
0.9028821013,0.8571428571,0.7927264917,0.8911571302,0.372972973,0.7647058824,0.8260869565,0.9029345372,0.8056537102,0.8545454545
0.9038697499,0.8541666667,0.8129586154,0.8887230019,0.3783783784,0.7878787879,0.8369565217,0.9054945055,0.8105263158,0.8545454545
0.9025357971,0.8541666667,0.8107242808,0.8910736883,0.3715846995,0.6857142857,0.8431372549,0.9031531532,0.8140350877,0.8545454545
0.9038716605,0.8571428571,0.8190107406,0.8894532417,0.3567567568,0.7647058824,0.8351648352,0.9033707865,0.804964539,0.8909090909
0.8983254534,0.8541666667,0.8021525229,0.8917052964,0.3817204301,0.7647058824,0.7826086957,0.9044444444,0.8098591549,0.8545454545
0.901888538,0.8571428571,0.8006470549,0.8891694998,0.3882978723,0.7714285714,0.8369565217,0.9031531532,0.8127208481,0.8727272727
0.903186255,0.8571428571,0.8055480226,0.8881683958,0.372972973,0.8205128205,0.8351648352,0.9029345372,0.8091872792,0.8545454545
0.8994511214,0.8541666667,0.8008183529,0.890518854,0.2173913043,0.7647058824,0.8279569892,0.9035874439,0.8056537102,0.8545454545
0.9057001577,0.8571428571,0.792619397,0.8915509486,0.3817204301,0.7647058824,0.8369565217,0.9009009009,0.8078291815,0.8545454545
0.9021316122,0.8541666667,0.7971781305,0.8889880952,0.2391304348,0.7575757576,0.8369565217,0.9040178571,0.8127208481,0.8727272727
0.8977402383,0.8541666667,0.8041498032,0.8913624221,0.375,0.5882352941,0.8387096774,0.9035874439,0.804964539,0.8545454545
0.9030576899,0.8571428571,0.8056554688,0.8892102114,0.3715846995,0.7647058824,0.8260869565,0.9033707865,0.8105263158,0.8545454545
0.9040597352,0.8571428571,0.8123718124,0.8888778353,0.3641304348,0.7352941176,0.8369565217,0.9031531532,0.8133802817,0.8727272727
0.9016894179,0.8571428571,0.8207961286,0.8898721731,0.372972973,0.84,0.8828125,0.9033707865,0.8091872792,0.8545454545
0.9045460269,0.8541666667,0.7926861025,0.8896783106,0.3743315508,0.7647058824,0.8279569892,0.9031531532,0.8133802817,0.8727272727
0.9046081232,0.8541666667,0.8028421922,0.8889546351,0.4724770642,0.7647058824,0.8369565217,0.9029345372,0.8085106383,0.8545454545
0.9031698821,0.8541666667,0.8070085819,0.8882265276,0.375,0.7352941176,0.8351648352,0.9029345372,0.8127208481,0.8518518519
0.904277428,0.8571428571,0.7894801827,0.8910726508,0.3641304348,0.6470588235,0.8241758242,0.9033707865,0.8140350877,0.8545454545
